GexfID,Title,IMDB_id,ReleaseDate,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters,rating
28,Affliction,tt0118564,1997,Affliction,8.667,0.296,1.899,4,0.624,1,0.207,140,24,7
30,After Life,tt0838247,2009,After.Life,7.077,0.342,2.087,3,0.616,3,0.126,110,28,5.9
31,Agnes of God,tt0088683,1985,Agnes-of-God,13.524,0.254,1.514,2,0.835,1,0.486,164,21,6.6
32,Air Force One,tt0118571,1997,Air-Force-One,7.719,0.438,2.465,6,0.506,10,0.076,302,60,6.4
33,Airplane!,tt0080339,1980,Airplane!,5.958,0.511,1.975,4,0.556,9,0.086,178,46,7.8
34,Airplane II: The Sequel,tt0083530,1982,Airplane-II:-The-Sequel,9.043,0.492,2.611,6,0.683,10,0.061,493,103,6.1
36,Ali,tt0248667,2001,Ali,9.128,0.379,2.234,5,0.659,3,0.088,345,71,6.8
39,Alien Nation,tt0094631,1988,Alien-Nation,7.765,0.342,1.865,3,0.762,4,0.148,165,34,6.3
40,AVP: Alien vs. Predator,tt0370263,2004,AVP:-Alien-vs.-Predator,12.48,0.286,2.033,4,0.667,2,0.253,209,22,5.6
41,Alien: Resurrection,tt0118583,1997,Alien:-Resurrection,26.414,0.15,1.758,4,0.658,3,0.347,478,27,6.3
42,Aliens,tt0090605,1986,Aliens,18.867,0.234,1.791,3,0.698,5,0.248,401,28,8.4
43,All About Eve,tt0042192,1950,All-About-Eve,16.5,0.08,1.567,3,0.813,2,0.416,234,20,8.3
44,All About Steve,tt0881891,2009,All-About-Steve,6.207,0.384,2.237,5,0.529,13,0.068,229,56,4.8
47,Almost Famous,tt0181875,2000,Almost-Famous,13.345,0.339,2.028,4,0.73,3,0.139,462,53,7.9
48,Alone in the Dark,tt0369226,2005,Alone-in-the-Dark,8.552,0.267,2.211,4,0.56,3,0.175,152,26,2.3
49,Amadeus,tt0086879,1984,Amadeus,11.02,0.422,2.265,5,0.795,2,0.149,290,44,8.3
50,Amelia,tt0211915,2001,Amelia,8.375,0.341,2.044,4,0.678,4,0.112,111,28,8.4
51,American Beauty,tt0169547,1999,American-Beauty,9.304,0.278,1.957,3,0.563,2,0.182,144,23,8.4
52,American Gangster,tt0765429,2007,American-Gangster,5.031,0.418,2.385,4,0.456,6,0.059,176,56,7.8
54,American History X,tt0120586,1998,American-History-X,10.146,0.363,2.381,5,0.638,2,0.141,268,40,8.6
57,American Pie,tt0163651,1999,American-Pie,10.81,0.304,1.988,3,0.602,7,0.13,284,39,7
58,The American President,tt0112346,1995,The-American-President,9.649,0.352,2.143,4,0.701,7,0.105,324,56,6.8
59,American Psycho,tt0144084,2000,American-Psycho,5.714,0.308,1.818,2,0.702,3,0.156,99,27,7.6
60,American Shaolin,tt0101327,1991,American-Shaolin,7.588,0.421,2.182,3,0.639,2,0.132,156,32,5.8
61,American Splendor,tt0305206,2003,American-Splendor,7.435,0.374,1.915,3,0.696,6,0.09,162,36,7.5
62,An American Werewolf in London,tt0082010,1981,An-American-Werewolf-in-London,6.462,0.353,2.054,4,0.523,7,0.119,139,37,7.6
63,An Education,tt1174732,2009,An-Education,15.8,0.274,1.791,3,0.602,3,0.242,227,20,7.3
64,Analyze That,tt0289848,2002,Analyze-That,7.837,0.396,2.277,5,0.651,3,0.111,242,48,5.9
65,Analyze This,tt0122933,1999,Analyze-This,10.143,0.284,2,4,0.62,4,0.151,263,39,6.7
66,Anastasia,tt0118617,1997,Anastasia,9.875,0.34,1.952,3,0.821,1,0.206,155,27,7.1
67,Angel Eyes,tt0225071,2001,Angel-Eyes,7.706,0.355,1.929,3,0.788,1,0.16,158,33,5.6
68,Angels & Demons,tt0808151,2009,Angels-&-Demons,8.129,0.374,2.307,5,0.587,4,0.131,155,25,8.4
69,Annie Hall,tt0075686,1977,Annie-Hall,8.179,0.399,1.863,2,0.828,4,0.123,254,54,8.1
70,The Anniversary Party,tt0254099,2001,The-Anniversary-Party,22.69,0.106,1.552,3,0.846,1,0.473,412,27,6.3
71,Antitrust,tt0218817,2001,Antitrust,8.125,0.369,2.157,5,0.663,4,0.108,240,46,6.1
72,Antz,tt0120587,1998,Antz,9.7,0.296,1.996,4,0.678,3,0.192,204,39,6.6
73,The Apartment,tt0053604,1960,The-Apartment,7.818,0.267,2.045,4,0.605,1,0.144,151,31,8.3
74,Apocalypse Now,tt0078788,1979,Apocalypse-Now,15.409,0.219,1.753,3,0.822,2,0.251,344,39,8.5
76,Apt Pupil,tt0118636,1998,Apt-Pupil,8.75,0.208,1.819,3,0.575,4,0.203,146,23,6.7
80,Army of Darkness,tt0106308,1992,Army-of-Darkness,6.154,0.269,1.81,3,0.661,4,0.209,85,24,7.6
81,As Good as It Gets,tt0119822,1997,As-Good-as-It-Gets,6.971,0.468,2.22,3,0.658,1,0.124,160,35,7.7
82,Assassins,tt0112401,1995,Assassins,4.947,0.414,2.287,4,0.321,3,0.14,60,17,6.3
83,The Assignment,tt0118647,1997,The-Assignment,6.885,0.399,2.508,5,0.49,6,0.083,137,42,4.5
84,At First Sight,tt0132512,1999,At-First-Sight,8.533,0.228,1.803,3,0.722,4,0.168,159,27,5.9
85,Austin Powers: International Man of Mystery,tt0118655,1997,Austin-Powers:-International-Man-of-Mystery,6.192,0.436,2.07,4,0.737,6,0.09,167,45,7
86,Austin Powers: The Spy Who Shagged Me,tt0145660,1999,Austin-Powers:-The-Spy-Who-Shagged-Me,5.175,0.497,2.151,4,0.526,15,0.064,174,56,6.6
87,Autumn in New York,tt0174480,2000,Autumn-in-New-York,9.486,0.317,1.881,3,0.773,1,0.17,204,32,5.5
88,Avatar,tt0499549,2009,Avatar,15.125,0.264,1.897,3,0.778,2,0.222,310,29,7.8
89,The Avengers,tt0054518,1961,The-Avengers,8.583,0.22,1.771,2,0.617,4,0.174,147,23,8.1
91,Awakenings,tt0099077,1990,Awakenings,12.364,0.269,1.905,3,0.752,3,0.176,382,50,7.8
92,Babel,tt0449467,2006,Babel,6.486,0.689,3.941,9,0.672,2,0.058,301,73,7.5
93,Bachelor Party,tt0086927,1984,Bachelor-Party,12.957,0.334,2.011,4,0.771,5,0.131,374,46,6.3
97,Backdraft,tt0101393,1991,Backdraft,14.537,0.196,1.969,4,0.704,2,0.212,341,36,6.7
98,Bad Boys,tt0112442,1995,Bad-Boys,9.25,0.298,2.121,3,0.707,3,0.122,257,40,6.8
99,Bad Day at Black Rock,tt0047849,1955,Bad-Day-at-Black-Rock,12.778,0.077,1.557,3,0.648,3,0.333,142,14,7.8
100,The Bad Lieutenant: Port of Call - New Orleans,tt1095217,2009,The-Bad-Lieutenant:-Port-of-Call---New-Orleans,4.091,0.476,1.93,3,0.714,6,0.089,87,37,6.7
101,Bad Santa,tt0307987,2003,Bad-Santa,5.368,0.323,1.964,3,0.561,7,0.101,120,33,7.1
102,Badlands,tt0069762,1973,Badlands,6.526,0.269,1.889,3,0.607,2,0.164,69,16,8.1
103,Bamboozled,tt0215545,2000,Bamboozled,10.852,0.447,2.114,3,0.659,4,0.111,289,56,6.5
104,Barry Lyndon,tt0072684,1975,Barry-Lyndon,5.755,0.449,1.981,3,0.612,3,0.081,159,47,8.1
106,Basic,tt0264395,2003,Basic,16.545,0.25,1.922,4,0.715,1,0.281,250,18,6.5
107,Basic Instinct,tt0103772,1992,Basic-Instinct,13.68,0.187,1.72,2,0.799,1,0.28,236,24,6.9
108,Basquiat,tt0115632,1996,Basquiat,14.426,0.277,1.793,2,0.792,2,0.2,478,58,6.9
109,Batman,tt0096895,1989,Batman,5.574,0.451,2.464,5,0.593,10,0.072,194,58,7.6
110,Batman Returns,tt0103776,1992,Batman-Returns,6.133,0.589,2.969,7,0.708,5,0.078,190,54,7
111,The Battle of Algiers,tt0058946,1966,The-Battle-of-Algiers,3.962,0.58,2.948,7,0.495,9,0.066,93,48,8.1
112,The Battle of Shaker Heights,tt0357470,2003,The-Battle-of-Shaker-Heights,8.059,0.311,2.039,4,0.738,1,0.148,166,32,6.1
113,The Beach,tt0163978,2000,The-Beach,8.811,0.41,1.863,3,0.751,1,0.168,182,35,6.6
114,Bean,tt0118689,1997,Bean,9.158,0.42,2.879,8,0.54,7,0.119,213,37,6.4
115,Beavis and Butt-Head Do America,tt0115641,1996,Beavis-and-Butt-Head-Do-America,7.18,0.415,2.276,4,0.739,6,0.082,263,57,6.8
116,Being Human,tt1349938,2008,Being-Human,6.455,0.527,2.222,5,0.682,5,0.074,250,65,7.5
117,Being John Malkovich,tt0120601,1999,Being-John-Malkovich,7.238,0.364,2.151,3,0.699,5,0.102,189,38,7.8
118,Being There,tt0078841,1979,Being-There,7.451,0.393,2.167,4,0.701,2,0.092,223,51,8
119,The Believer,tt0247199,2001,The-Believer,8.679,0.363,2.002,5,0.669,5,0.112,232,46,7.2
120,Beloved,tt0120603,1998,Beloved,6.05,0.48,2.264,4,0.484,6,0.09,148,37,5.9
122,Big,tt0094737,1988,Big,12.824,0.184,1.775,3,0.647,2,0.301,160,17,7.3
123,Bear in the Big Blue House,tt0173664,1997,Bear-in-the-Big-Blue-House,10.194,0.247,1.952,3,0.646,4,0.176,213,30,6.8
124,Big Fish,tt0319061,2003,Big-Fish,6.698,0.446,2.166,3,0.751,2,0.103,174,38,8
125,The Big Lebowski,tt0118715,1998,The-Big-Lebowski,8.419,0.378,1.918,3,0.647,2,0.107,198,37,8.2
126,The Big White,tt0402850,2005,The-Big-White,7.813,0.363,2.217,4,0.597,4,0.129,171,32,6.4
127,The Birds,tt0056869,1963,The-Birds,16.444,0.26,1.573,2,0.885,1,0.427,211,26,7.7
128,Birthday Girl,tt0188453,2001,Birthday-Girl,4.1,0.302,1.86,3,0.452,4,0.132,59,19,6.1
129,The Black Dahlia,tt0387877,2006,The-Black-Dahlia,7.281,0.356,2.048,4,0.595,4,0.071,300,63,5.6
130,Black Rain,tt0096933,1989,Black-Rain,8.966,0.278,1.854,3,0.713,2,0.175,161,27,6.6
131,Black Snake Moan,tt0462200,2006,Black-Snake-Moan,6,0.408,2.146,3,0.677,2,0.121,119,32,7
132,Blade,tt0120611,1998,Blade,6.897,0.275,1.953,4,0.602,4,0.14,137,29,7.1
133,Blade II,tt0187738,2002,Blade-II,14,0.169,1.996,5,0.664,2,0.222,239,21,6.7
134,Blade Runner,tt0083658,1982,Blade-Runner,5.231,0.442,2.458,4,0.52,1,0.138,79,25,8.2
135,Blade: Trinity,tt0359013,2004,Blade:-Trinity,6.824,0.439,2.502,5,0.568,7,0.096,164,36,5.9
136,Blast from the Past,tt0124298,1999,Blast-from-the-Past,8.125,0.51,2.368,4,0.612,3,0.105,256,48,6.6
137,Blood Simple.,tt0086979,1984,Blood-Simple.,5.375,0.305,1.985,3,0.421,5,0.175,59,15,7.7
138,Blow,tt0221027,2001,Blow,8.632,0.38,2,4,0.675,2,0.093,294,55,7.6
139,Blue Velvet,tt0090756,1986,Blue-Velvet,8.111,0.41,1.979,3,0.6,4,0.108,195,34,7.8
141,"Bodies, Rest & Motion",tt0106447,1993,"Bodies,-Rest-&-Motion",6.385,0.252,1.905,3,0.573,4,0.16,80,17,5.7
142,Body Heat,tt0082089,1981,Body-Heat,8,0.285,1.779,2,0.501,3,0.182,113,22,7.4
143,Body of Evidence,tt0106453,1993,Body-of-Evidence,10.154,0.246,1.883,3,0.738,1,0.209,153,24,7.1
144,The Bodyguard,tt0103855,1992,The-Bodyguard,8.913,0.365,2.043,4,0.607,5,0.118,264,45,6.2
145,Bones,tt0460627,2005,Bones,10.146,0.425,2.689,6,0.679,5,0.14,224,28,7.9
146,The Bonfire of the Vanities,tt0099165,1990,The-Bonfire-of-the-Vanities,10.265,0.459,2.11,3,0.73,3,0.12,394,64,5.5
147,Bonnie and Clyde,tt0061418,1967,Bonnie-and-Clyde,8.56,0.369,1.93,4,0.595,4,0.153,152,24,7.9
148,Boogie Nights,tt0118749,1997,Boogie-Nights,9.574,0.332,2.258,4,0.614,7,0.096,344,53,7.9
149,The Book of Eli,tt1037705,2010,The-Book-of-Eli,9.172,0.292,1.791,2,0.8,2,0.195,133,23,6.9
150,The Boondock Saints II: All Saints Day,tt1300851,2009,The-Boondock-Saints-II:-All-Saints-Day,9.93,0.425,2.511,5,0.631,8,0.098,374,54,6.3
151,The Boondock Saints,tt0144117,1999,The-Boondock-Saints,9.524,0.371,2.159,3,0.559,5,0.116,245,40,7.9
152,Bottle Rocket,tt0115734,1996,Bottle-Rocket,12.514,0.275,1.815,3,0.78,1,0.205,277,33,7.1
153,Bound,tt0115736,1996,Bound,12.133,0.393,2.019,3,0.777,1,0.295,139,15,7.4
154,The Bounty Hunter,tt1038919,2010,The-Bounty-Hunter,6.14,0.377,2.213,4,0.47,9,0.084,161,30,5.5
155,The Bourne Identity,tt0258463,2002,The-Bourne-Identity,5.17,0.532,2.197,4,0.588,9,0.081,108,38,7.9
157,The Bourne Ultimatum,tt0440963,2007,The-Bourne-Ultimatum,5.647,0.406,2.337,4,0.601,6,0.08,164,45,8.1
158,Braveheart,tt0112573,1995,Braveheart,10.053,0.378,2.197,5,0.707,6,0.114,400,70,8.4
159,Brazil,tt0088846,1985,Brazil,6.818,0.393,1.965,4,0.722,5,0.111,161,40,8
161,Breakdown,tt0118771,1997,Breakdown,8.8,0.278,1.821,3,0.656,1,0.237,122,20,6.9
162,The Breakfast Club,tt0088847,1985,The-Breakfast-Club,19.333,0.029,1.417,3,0.681,1,0.611,122,9,7.9
164,Bringing Out the Dead,tt0163988,1999,Bringing-Out-the-Dead,9.488,0.342,1.887,3,0.782,1,0.147,230,40,6.3
165,Broadcast News,tt0092699,1987,Broadcast-News,10.943,0.285,2.044,3,0.757,2,0.128,384,53,6.8
166,Broken Arrow,tt0115759,1996,Broken-Arrow,8.984,0.419,2.406,4,0.727,3,0.107,179,33,7.2
167,Broken Embraces,tt0913425,2009,Broken-Embraces,8.762,0.315,2.162,4,0.638,2,0.134,205,36,6
169,Bruce Almighty,tt0315327,2003,Bruce-Almighty,6.947,0.444,1.949,3,0.711,6,0.098,212,55,7.2
170,Buffy the Vampire Slayer,tt0118276,1997,Buffy-the-Vampire-Slayer,13.422,0.217,2.006,5,0.597,4,0.206,271,33,6.7
171,Bull Durham,tt0094812,1988,Bull-Durham,14.051,0.228,1.867,3,0.649,4,0.216,341,34,8.2
173,Burlesque,tt1126591,2010,Burlesque,13.436,0.285,1.791,3,0.812,2,0.215,275,29,7.1
174,Burn After Reading,tt0887883,2008,Burn-After-Reading,5.2,0.45,2.412,4,0.573,6,0.096,128,39,6.4
175,The Butterfly Effect,tt0289879,2004,The-Butterfly-Effect,8.8,0.331,1.932,3,0.729,3,0.126,203,31,7
176,The Cable Guy,tt0115798,1996,The-Cable-Guy,8.744,0.31,1.919,3,0.601,6,0.117,225,38,7.7
177,Capote,tt0379725,2005,Capote,6.435,0.378,2.131,4,0.749,2,0.1,188,43,6
178,Casino,tt0112641,1995,Casino,9.628,0.415,2.06,3,0.758,5,0.052,673,111,7.4
179,Cast Away,tt0162222,2000,Cast-Away,5.421,0.375,1.872,2,0.807,4,0.097,130,37,8.2
180,Catch Me If You Can,tt0264464,2002,Catch-Me-If-You-Can,4.429,0.496,2.177,4,0.562,10,0.038,227,87,7.7
182,The Cell,tt0209958,2000,The-Cell,8.214,0.358,2.217,5,0.51,5,0.156,148,27,8.1
183,Cellular,tt0337921,2004,Cellular,9.17,0.392,2.176,4,0.79,2,0.115,271,49,6.3
184,Changeling,tt0824747,2008,Changeling,6,0.46,2.494,5,0.613,3,0.079,206,57,6.5
185,Spin City,tt0115369,1996,Spin-City,12.063,0.19,1.972,4,0.65,2,0.185,248,31,7.8
186,Charade,tt0056923,1963,Charade,12.353,0.191,2.002,4,0.547,4,0.193,227,32,7.3
187,Charlie's Angels: Full Throttle,tt0305357,2003,Charlie's-Angels:-Full-Throttle,12.129,0.262,2.045,4,0.648,4,0.172,263,29,8
189,Chasing Sleep,tt0221069,2000,Chasing-Sleep,8.211,0.17,1.706,2,0.743,3,0.234,87,18,4.8
190,Cherry Falls,tt0175526,2000,Cherry-Falls,5.444,0.486,2.831,7,0.581,3,0.08,174,52,6.4
191,Chinatown,tt0071315,1974,Chinatown,6.8,0.4,1.898,2,0.704,1,0.102,168,45,5.1
192,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,2005,"The-Chronicles-of-Narnia:-The-Lion,-the-Witch-and-the-Wardrobe",19.313,0.155,1.673,3,0.822,1,0.335,391,28,8.2
193,The Cider House Rules,tt0124315,1999,The-Cider-House-Rules,15.789,0.323,2.024,4,0.707,1,0.199,410,33,6.9
194,The Cincinnati Kid,tt0059037,1965,The-Cincinnati-Kid,15.707,0.189,1.832,4,0.675,5,0.243,289,33,7.4
195,Cinema Paradiso,tt0095765,1988,Cinema-Paradiso,6.115,0.35,2.217,4,0.573,8,0.088,164,47,7.3
197,Citizen Kane,tt0033467,1941,Citizen-Kane,6.754,0.563,2.479,4,0.763,4,0.083,210,54,8.5
198,City of Joy,tt0103976,1992,City-of-Joy,10.522,0.305,2.017,4,0.679,3,0.138,303,44,8.4
199,Clash of the Titans,tt0800320,2010,Clash-of-the-Titans,8.706,0.32,1.918,3,0.538,6,0.157,194,31,6.4
200,Clerks.,tt0109445,1994,Clerks.,8.154,0.37,2.043,3,0.77,1,0.167,152,35,5.8
201,Cliffhanger,tt0106582,1993,Cliffhanger,13.913,0.269,1.834,3,0.738,1,0.308,210,23,5.3
204,Cobb,tt0109450,1994,Cobb,7.805,0.374,1.952,3,0.8,1,0.133,185,40,6.4
205,Code of Silence,tt0088936,1985,Code-of-Silence,6.818,0.363,2.232,5,0.589,4,0.111,181,43,6.5
206,Cold Mountain,tt0159365,2003,Cold-Mountain,7.745,0.434,2.173,4,0.58,3,0.104,225,43,6
208,Collateral Damage,tt0233469,2002,Collateral-Damage,6.292,0.36,2.009,4,0.612,6,0.087,189,46,7.2
209,Confessions of a Dangerous Mind,tt0270288,2002,Confessions-of-a-Dangerous-Mind,4.865,0.446,2.182,5,0.569,6,0.05,202,73,5.5
210,Confidence,tt0310910,2003,Confidence,15.852,0.191,1.791,3,0.697,2,0.236,281,26,7.1
211,Constantine,tt0360486,2005,Constantine,5.769,0.335,2.022,4,0.512,3,0.135,100,26,6.7
212,The Cooler,tt0318374,2003,The-Cooler,9.176,0.306,1.892,3,0.727,4,0.185,189,32,6.9
213,Copycat,tt0112722,1995,Copycat,4.279,0.441,2.301,4,0.582,10,0.081,107,41,7
214,Coraline,tt0327597,2009,Coraline,7.667,0.402,1.875,2,0.854,1,0.125,155,28,6.6
216,Cradle 2 the Grave,tt0306685,2003,Cradle-2-the-Grave,10.462,0.349,2.186,4,0.625,3,0.162,248,38,7.7
217,Crank,tt0479884,2006,Crank,6.286,0.356,2.067,4,0.568,10,0.064,153,40,5.8
218,Crash,tt0375679,2004,Crash,6.133,0.29,1.971,3,0.504,1,0.238,57,15,7
220,Crime Spree,tt0310924,2003,Crime-Spree,14.255,0.286,2.227,4,0.602,5,0.141,457,46,7.8
221,"Crouching Tiger, Hidden Dragon",tt0190332,2000,"Crouching-Tiger,-Hidden-Dragon",8.182,0.389,2.101,4,0.652,2,0.174,159,33,6.6
222,Croupier,tt0159382,1998,Croupier,8.061,0.37,1.861,2,0.628,2,0.131,173,33,7.9
223,The Crow: Salvation,tt0132910,2000,The-Crow:-Salvation,7,0.33,2.03,4,0.651,4,0.135,143,33,7.2
224,The Crow,tt0109506,1994,The-Crow,6.6,0.368,2.34,5,0.538,1,0.156,119,30,5
225,The Crow: City of Angels,tt0115986,1996,The-Crow:-City-of-Angels,7.44,0.25,1.924,4,0.697,2,0.2,111,21,7.6
226,Cruel Intentions,tt0139134,1999,Cruel-Intentions,8.375,0.25,1.9,4,0.668,1,0.275,92,16,4.5
227,The Crying Game,tt0104036,1992,The-Crying-Game,14.533,0.25,1.686,3,0.766,1,0.371,143,14,6.8
229,The Curious Case of Benjamin Button,tt0421715,2008,The-Curious-Case-of-Benjamin-Button,12.13,0.333,2.13,4,0.675,2,0.126,373,46,7.3
231,The Damned United,tt1226271,2009,The-Damned-United,7.459,0.349,1.911,3,0.719,1,0.126,166,35,7.8
232,Dances with Wolves,tt0099348,1990,Dances-with-Wolves,6.051,0.491,2.278,4,0.569,8,0.104,146,39,7.6
234,Dark Star,tt0069945,1974,Dark-Star,8.545,0.055,1.429,2,0.53,4,0.291,64,11,8
235,Darkman,tt0099365,1990,Darkman,12.921,0.354,1.979,4,0.787,5,0.123,189,41,6.5
236,Date Night,tt1279935,2010,Date-Night,10.326,0.312,1.836,2,0.829,1,0.164,210,33,6.4
238,Day of the Dead,tt0088993,1985,Day-of-the-Dead,5.674,0.522,2.489,5,0.529,6,0.1,134,34,6.3
239,The Day the Clown Cried,tt0068451,1972,The-Day-the-Clown-Cried,12,0.298,1.835,3,0.726,3,0.189,298,40,7.2
240,The Day the Earth Stood Still,tt0043456,1951,The-Day-the-Earth-Stood-Still,7.077,0.492,2.302,5,0.674,6,0.142,154,34,5.5
241,Days of Heaven,tt0077405,1978,Days-of-Heaven,10.2,0.236,1.817,3,0.665,3,0.2,143,16,5.5
242,Dead Poets Society,tt0097165,1989,Dead-Poets-Society,21.378,0.223,1.808,3,0.794,2,0.281,629,44,8
243,Death at a Funeral,tt0795368,2007,Death-at-a-Funeral,25.2,0.081,1.509,3,0.831,2,0.484,356,19,8
244,Death to Smoochy,tt0266452,2002,Death-to-Smoochy,7.24,0.493,2.462,4,0.75,1,0.098,211,48,7.4
246,Deep Cover,tt0104073,1992,Deep-Cover,8.615,0.335,2.083,4,0.712,4,0.132,199,34,6.4
247,Deep Rising,tt0118956,1998,Deep-Rising,16.762,0.272,1.786,3,0.801,1,0.371,243,19,6.9
248,The Deer Hunter,tt0077416,1978,The-Deer-Hunter,7.6,0.332,2.179,5,0.505,6,0.104,193,38,6
249,Defiance,tt1034303,2008,Defiance,12.029,0.299,2.006,4,0.63,7,0.109,509,57,8.2
250,The Departed,tt0407887,2006,The-Departed,7.273,0.402,2.35,4,0.554,3,0.082,236,49,7
251,Detroit Rock City,tt0165710,1999,Detroit-Rock-City,10.157,0.282,2.144,4,0.797,5,0.12,281,43,8.5
252,Devil in a Blue Dress,tt0112857,1995,Devil-in-a-Blue-Dress,7.257,0.37,1.904,3,0.712,2,0.138,149,35,6.8
253,The Devil's Advocate,tt0118971,1997,The-Devil's-Advocate,8.565,0.323,2.011,3,0.601,4,0.116,257,46,6.7
254,Die Hard,tt0095016,1988,Die-Hard,14.333,0.202,1.872,3,0.756,2,0.21,418,48,7.5
255,The Distinguished Gentleman,tt0104114,1992,The-Distinguished-Gentleman,11.736,0.283,1.869,3,0.748,3,0.15,367,52,8.2
256,Disturbia,tt0486822,2007,Disturbia,7,0.262,1.747,2,0.62,5,0.174,111,21,5.8
257,Do the Right Thing,tt0097216,1989,Do-the-Right-Thing,14.811,0.281,1.745,3,0.704,2,0.272,290,30,6.9
258,Dog Day Afternoon,tt0072890,1975,Dog-Day-Afternoon,17.705,0.26,1.821,4,0.765,4,0.229,338,39,7.9
260,Donnie Brasco,tt0119008,1997,Donnie-Brasco,10.549,0.377,2.069,4,0.719,2,0.125,305,44,8
261,The Doors,tt0101761,1991,The-Doors,16.198,0.333,2.015,5,0.79,4,0.12,718,91,7.8
262,Double Indemnity,tt0036775,1944,Double-Indemnity,4.733,0.309,1.753,2,0.466,7,0.11,82,21,7.2
263,Drag Me to Hell,tt1127180,2009,Drag-Me-to-Hell,7.733,0.317,1.871,3,0.762,1,0.177,98,22,8.3
264,Dragonslayer,tt0082288,1981,Dragonslayer,13.5,0.166,1.525,2,0.793,1,0.475,136,15,6.6
265,Drop Dead Gorgeous,tt0157503,1999,Drop-Dead-Gorgeous,12.113,0.264,1.973,4,0.577,9,0.146,401,53,6.7
266,A Dry White Season,tt0097243,1989,A-Dry-White-Season,8.242,0.511,2.277,4,0.682,6,0.086,325,65,6.5
271,Eagle Eye,tt1059786,2008,Eagle-Eye,6.558,0.544,2.739,5,0.697,8,0.052,315,77,7
272,Eastern Promises,tt0765443,2007,Eastern-Promises,8.522,0.325,2.162,4,0.651,1,0.209,122,22,6.6
273,Edtv,tt0131369,1999,Edtv,8.61,0.493,2.504,6,0.641,5,0.074,417,82,7.7
274,Ed Wood,tt0109707,1994,Ed-Wood,11.735,0.264,1.896,3,0.678,6,0.11,521,68,7.9
276,Eight Legged Freaks,tt0271367,2002,Eight-Legged-Freaks,16.769,0.177,1.816,3,0.73,2,0.268,316,25,5.4
278,Election,tt0126886,1999,Election,7.15,0.318,2.09,3,0.571,3,0.119,171,39,7.3
279,The Elephant Man,tt0080678,1980,The-Elephant-Man,5.915,0.441,2.256,4,0.61,7,0.085,180,47,8.2
280,Elizabeth: The Golden Age,tt0414055,2007,Elizabeth:-The-Golden-Age,9.32,0.355,2.469,5,0.521,6,0.115,267,46,6.9
281,Enemy of the State,tt0120660,1998,Enemy-of-the-State,5.588,0.433,2.174,4,0.574,8,0.068,221,67,7.3
282,The English Patient,tt0116209,1996,The-English-Patient,8.743,0.465,2.585,5,0.703,1,0.128,211,34,7.4
283,Entrapment,tt0137494,1999,Entrapment,6.333,0.089,1.578,2,0.636,3,0.288,60,12,6.2
286,Erin Brockovich,tt0195685,2000,Erin-Brockovich,6.455,0.369,2.07,3,0.531,4,0.078,198,42,7.3
288,Escape from New York,tt0082340,1981,Escape-from-New-York,5.563,0.374,2.233,4,0.519,6,0.101,116,29,7.2
289,Eternal Sunshine of the Spotless Mind,tt0338013,2004,Eternal-Sunshine-of-the-Spotless-Mind,10.188,0.382,2.617,6,0.69,1,0.139,213,31,8.3
290,Even Cowgirls Get the Blues,tt0106834,1993,Even-Cowgirls-Get-the-Blues,5.535,0.43,2.13,3,0.68,6,0.11,126,41,4.3
291,Event Horizon,tt0119081,1997,Event-Horizon,21.545,0.171,1.743,3,0.706,4,0.242,357,16,6.7
292,The Evil Dead,tt0083907,1981,The-Evil-Dead,25.6,0,1,1,1,1,1,98,5,7.6
293,Evil Dead II,tt0092991,1987,Evil-Dead-II,6.75,0.262,1.835,4,0.544,3,0.258,71,14,7.8
294,Excalibur,tt0082348,1981,Excalibur,10.387,0.297,2.023,4,0.668,2,0.209,189,31,7.4
295,Extract,tt1225822,2009,Extract,8.714,0.338,1.974,3,0.736,1,0.198,130,22,6.2
296,The Fabulous Baker Boys,tt0097322,1989,The-Fabulous-Baker-Boys,8.154,0.254,1.995,4,0.72,4,0.108,192,38,6.8
297,Face/Off,tt0119094,1997,Face/Off,9.1,0.328,2.034,3,0.667,3,0.136,226,40,7.3
298,Fair Game,tt0977855,2010,Fair-Game,8.261,0.405,2.244,4,0.765,2,0.091,230,60,6.8
299,The Family Man,tt0218967,2000,The-Family-Man,6.563,0.329,1.871,2,0.769,1,0.129,141,32,6.7
300,Fantastic Four,tt0120667,2005,Fantastic-Four,12.35,0.279,2.126,4,0.653,4,0.146,318,35,4.3
301,Fantastic Mr. Fox,tt0432283,2009,Fantastic-Mr.-Fox,13.813,0.221,1.837,3,0.782,1,0.286,252,26,7.8
302,Fargo,tt0116282,1996,Fargo,5.45,0.511,2.331,4,0.53,5,0.088,124,40,9
303,Fast Times at Ridgemont High,tt0083929,1982,Fast-Times-at-Ridgemont-High,7.22,0.462,2.364,4,0.742,2,0.089,250,57,7.2
304,Fatal Instinct,tt0106873,1993,Fatal-Instinct,7.2,0.367,2.11,4,0.626,5,0.111,171,36,5.7
305,Fear and Loathing in Las Vegas,tt0120669,1998,Fear-and-Loathing-in-Las-Vegas,6.195,0.281,1.986,4,0.653,2,0.102,140,37,7.7
307,Ferris Bueller's Day Off,tt0091042,1986,Ferris-Bueller's-Day-Off,7.208,0.434,2.388,5,0.483,8,0.094,222,43,7.8
