GexfID,Title,IMDB_id,ReleaseDate,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters,rating
733,The Shining,tt0081505,1980,The-Shining,7.769,0.354,2.033,3,0.577,4,0.154,132,26,8.4
734,The Shipping News,tt0120824,2001,The-Shipping-News,8.533,0.364,1.894,3,0.718,1,0.156,156,28,6.8
735,They Came from Within,tt0073705,1975,They-Came-from-Within,4.19,0.34,1.959,4,0.452,4,0.152,52,21,6.6
737,Sideways,tt0375063,2004,Sideways,9.306,0.295,1.941,3,0.656,7,0.111,188,29,7.5
738,The Siege,tt0133952,1998,The-Siege,8.421,0.462,2.167,4,0.646,8,0.091,289,52,7.4
739,Signs,tt0286106,2002,Signs,10.636,0.307,1.974,3,0.741,1,0.234,154,21,6.7
740,The Silence of the Lambs,tt0102926,1991,The-Silence-of-the-Lambs,6.491,0.436,2.464,5,0.608,3,0.086,150,36,8.6
741,Silver Bullet,tt0090021,1985,Silver-Bullet,5.647,0.462,2.532,5,0.405,6,0.096,128,33,7.8
742,S1m0ne,tt0258153,2002,S1m0ne,7.17,0.387,1.958,3,0.612,5,0.085,227,50,6.1
743,Sister Act,tt0105417,1992,Sister-Act,14.593,0.33,1.988,3,0.757,3,0.152,378,41,6.3
744,The Sixth Sense,tt0167404,1999,The-Sixth-Sense,4.138,0.48,2.437,5,0.479,4,0.106,70,28,8.1
745,Sleepless in Seattle,tt0108160,1993,Sleepless-in-Seattle,8.556,0.391,2.136,3,0.682,2,0.108,278,54,6.8
746,Sleepy Hollow,tt0162661,1999,Sleepy-Hollow,10.323,0.332,2.308,4,0.684,2,0.181,215,30,7.5
747,Sling Blade,tt0117666,1996,Sling-Blade,10.129,0.367,2.51,7,0.664,1,0.178,186,31,8
748,Slither,tt0439815,2006,Slither,10.167,0.276,2.157,4,0.552,3,0.157,229,32,6.5
749,Slumdog Millionaire,tt1010048,2008,Slumdog-Millionaire,8.321,0.423,2.132,5,0.742,4,0.091,227,42,8
751,Snatch,tt0208092,2000,Snatch.,12.537,0.359,2.061,4,0.658,2,0.193,290,37,6.9
753,Snow Falling on Cedars,tt0120834,1999,Snow-Falling-on-Cedars,6.718,0.381,2.514,5,0.573,1,0.117,153,39,6.8
754,So I Married an Axe Murderer,tt0108174,1993,So-I-Married-an-Axe-Murderer,8.175,0.404,1.955,3,0.788,4,0.101,204,44,6.4
755,Solaris,tt0307479,2002,Solaris,17.2,0,1,1,1,1,1,72,5,8.1
756,Soldier,tt0120157,1998,Soldier,9.2,0.385,2.217,5,0.578,3,0.193,164,28,6
757,Someone to Watch Over Me,tt0094008,1987,Someone-to-Watch-Over-Me,8.286,0.291,1.967,4,0.597,3,0.161,150,28,6.1
758,Something's Gotta Give,tt0337741,2003,Something's-Gotta-Give,16.267,0.209,1.729,3,0.821,1,0.313,292,28,6.7
760,Spanglish,tt0371246,2004,Spanglish,12.64,0.381,2.007,3,0.744,2,0.237,218,25,6.4
761,Spare Me,tt0108200,1994,Spare-Me,9.333,0.244,1.914,4,0.703,3,0.189,187,29,6.8
762,Meet the Spartans,tt1073498,2008,Meet-the-Spartans,7.25,0.374,1.948,3,0.694,3,0.1,227,55,2.7
764,Speed Racer,tt0811080,2008,Speed-Racer,11.823,0.378,2.361,5,0.697,4,0.089,506,64,6.1
765,Sphere,tt0120184,1998,Sphere,25.125,0.095,1.676,3,0.611,2,0.317,299,16,6
766,Spider-Man,tt0145487,2002,Spider-Man,10.585,0.399,2.519,6,0.558,4,0.139,291,40,7.3
